Time [ms];;;;IR RAW;RED RAW
19;10;25,297;0,011;47540;47658
19;10;25,31;0,013;47546;47684
19;10;25,321;0,011;47580;47685
19;10;25,333;0,012;47576;47708
19;10;25,344;0,011;47575;47694
19;10;25,356;0,012;47592;47705
19;10;25,368;0,012;47610;47693
19;10;25,38;0,012;47609;47716
19;10;25,391;0,011;47617;47720
19;10;25,403;0,012;47610;47698
19;10;25,414;0,011;47623;47703
19;10;25,427;0,013;47646;47700
19;10;25,438;0,011;47636;47712
19;10;25,45;0,012;47661;47713
19;10;25,462;0,012;47666;47707
19;10;25,474;0,012;47667;47724
19;10;25,485;0,011;47671;47722
19;10;25,497;0,012;47670;47721
19;10;25,508;0,011;47686;47731
19;10;25,52;0,012;47695;47718
19;10;25,532;0,012;47683;47733
19;10;25,544;0,012;47703;47727
19;10;25,556;0,012;47703;47751
19;10;25,568;0,012;47733;47738
19;10;25,579;0,011;47744;47745
19;10;25,591;0,012;47765;47751
19;10;25,603;0,012;47766;47757
19;10;25,614;0,011;47800;47770
19;10;25,626;0,012;47804;47777
19;10;25,638;0,012;47809;47768
19;10;25,649;0,011;47805;47768
19;10;25,662;0,013;47703;47700
19;10;25,673;0,011;47638;47682
19;10;25,685;0,012;47535;47646
19;10;25,696;0,011;47499;47610
19;10;25,708;0,012;47451;47601
19;10;25,72;0,012;47373;47566
19;10;25,731;0,011;47368;47555
19;10;25,744;0,013;47355;47547
19;10;25,756;0,012;47352;47573
19;10;25,768;0,012;47340;47556
19;10;25,779;0,011;47353;47577
19;10;25,791;0,012;47368;47568
19;10;25,803;0,012;47351;47564
19;10;25,814;0,011;47350;47587
19;10;25,826;0,012;47356;47579
19;10;25,838;0,012;47370;47571
19;10;25,849;0,011;47360;47568
19;10;25,861;0,012;47359;47569
19;10;25,873;0,012;47373;47590
19;10;25,885;0,012;47393;47577
19;10;25,896;0,011;47397;47596
19;10;25,908;0,012;47413;47610
19;10;25,92;0,012;47406;47589
19;10;25,932;0,012;47409;47590
19;10;25,944;0,012;47415;47594
19;10;25,955;0,011;47385;47579
19;10;25,967;0,012;47368;47589
19;10;25,979;0,012;47393;47565
19;10;25,991;0,012;47368;47577
19;10;26,03;0,039;47375;47580
19;10;26,13;0,1;47371;47573
19;10;26,26;0,13;47377;47574
19;10;26,38;0,12;47396;47571
19;10;26,49;0,11;47399;47594
19;10;26,62;0,13;47410;47581
19;10;26,73;0,11;47411;47594
19;10;26,84;0,11;47425;47596
19;10;26,96;0,12;47429;47616
19;10;26,108;-0,852;47441;47598
19;10;26,12;0,012;47457;47602
19;10;26,13;0,01;47456;47619
19;10;26,142;0,012;47451;47617
19;10;26,154;0,012;47484;47620
19;10;26,166;0,012;47490;47633
19;10;26,178;0,012;47505;47618
19;10;26,19;0,012;47505;47640
19;10;26,202;0,012;47510;47631
19;10;26,213;0,011;47525;47641
19;10;26,225;0,012;47521;47639
19;10;26,237;0,012;47522;47655
